S#,Date,Islamic Date,Blast Day Type,Blast Day Type clean,Holiday Type,Holiday Type clean,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Category helper,Location Sensitivity,Location Sensitivity helper,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Hour of Attack,AM / PM
167,Saturday-April 18-2009,22 Raby` al-THaany 1430 A.H,Working Day,Working Day,,,3pm/4.15 pm,Hangu,33.5351,71.0713,KPK,Check Post close to police station in Doaba Area,Police,POLICE,High,HIGH,Open,NA,Police,None,21,27,26,65,1,100,Civil Hospital Hangu/ CMH Thall,21.175,70.115,2009,3,PM
168,Tuesday-May 5-2009,10 Jumaada al-awal 1430 A.H.,Working Day,Working Day,,,MORNING,Peshawar,34.0043,71.5448,KPK,bara qadeem Check post-on peshawar-bara road-12km west of peshawar cantt,Military,MILITARY,High,HIGH,Open,NA,Military,None,7,11,25,48,1,85,Khyber Teaching Hospital / Hayatabad Medical Complex,18.615,65.507,2009,,
169,Monday-May 11-2009,16 Jumaada al-awal 1430 A.H,Working Day,Working Day,,,9:30:00 AM,Dara Adam Khel,33.6854,71.5131,KPK,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena police station,Police,POLICE,High,HIGH,Open,NA,Police,None,10,11,20,27,1,NA,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",25.66,78.188,2009,9,AM
170,Thursday-May 21-2009,26 Jumaada al-awal 1430 A.H,Working Day,Working Day,,,Late Night/Evening,Tank,32.226,70.3761,KPK,FC fort in Jandola,Military,MILITARY,High,HIGH,Open,FC camp,Military,None,6,9,25,36,1,NA,CMH Dera/ Tank Hospitals,21.54,70.772,2009,,
171,Wednesday-May 27-2009,3 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,10.10 AM/10:30 AM,Lahore,31.5451,74.3407,Punjab,hit police checkpost outside Rescue 15 Office and country's premier intelligence agency,Police,POLICE,High,HIGH,Open,NA,Police,None,26,27,320,370,1,125 kg,Ganga Ram hospital / Meo/ Services Hospital,33.275,91.895,2009,10,AM
172,Thursday-May 28-2009,4 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,5:40pm,Peshawar,34.0043,71.5448,KPK,"Kohat Road-Sira Khora-
Police  Check Post ",Police,POLICE,High,HIGH,Open,NA,Police,None,3,5,3,9,1,5kg,"Lady Reading Hospital 
Peshawar ",34.19,93.542,2009,5,PM
173,Thursday-May 28-2009,4 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,,D.I Khan ,31.8238,70.9095,KPK,checkpost on circular road,Police,POLICE,High,HIGH,Open,NA,Police,None,3,5,8,12,1,160,NA,29.085,84.353,2009,,
174,Friday-June 5-2009,12 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,Jummah prayer time,Upper Dir,35.1977,71.8749,FATA,Masjid in Hayagai Sharqai village,Religious,RELIGIOUS,Medium,MEDIUM,Closed,NA,Religious,Sunni,,40,50,70,1,NA,NA,23.36,74.048,2009,,
175,Saturday-June 6-2009,13 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,8:35:00 PM,Islamabad,33.718,73.0718,Capital,Rescue 15 building in Islamabad ,Police,POLICE,High,HIGH,Closed,Senior Police Officials meeting,Police,None,2,2,4,5,1,NA,PIMS,26.235,79.223,2009,8,PM
176,Tuesday-June 9-2009,16 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,10.30 pm,Peshawar,34.0043,71.5448,KPK,"Pearl Continental Hotel
Peshawar",Hotel,HOTEL,Medium,MEDIUM,Closed,NA,Foreigner,None,11,15,50,80,1,500 Kg,"Lady Reading Hospital 
Peshawar ",29.325,84.785,2009,10,PM
177,Thursday-June 11-2009,18 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,Thursday night ,Peshawar,34.0043,71.5448,KPK,ring road Latifabad-Peshawar ,Police,POLICE,High,HIGH,Open,NA,Police,None,1,2,8,15,1,NA,LRH ,30.935,87.683,2009,,
178,Friday-June 12-2009,19 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,After Friday prayers,Lahore,31.5451,74.3407,Punjab,Jamia Naeemia madrassa-Garhai Shahu area,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Sunni,5,7,5,12,1,24Kg,Mayo-Sir Ganga Ram Servuces-Jinnah Hospital,35.985,96.773,2009,,
179,Friday-June 12-2009,19 Jumaada al-THaany 1430 A.H,Working Day,Working Day,,,2.40 Pm,Nowshehra,34.0322,73.0944,KPK,military run Mosque in Nowshera Cantt-on supply depot morr,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Sunni,4,7,63,105,1,NA,contonment hospital-DHQ Hospital-peshawar CMH,29.2,84.56,2009,2,PM
180,Monday-June 22-2009,29 Jumaada al-THaany 1430 A.H. ,Working Day,Working Day,,,,Swat,35.3833,72.1833,KPK,Thakot Police check-post in Battagram District.,Police,POLICE,High,HIGH,Open,NA,Police,None,,2,,7,,,,27.665,81.797,2009,,
181,Friday-June 26-2009,3 Rajab 1430 A.H,Working Day,Working Day,,,6:00:00 AM/6:30:00 AM,Muzaffarabad,34.3597,73.4711,AJK,near non commisioned officers place-Muzaffarabad,Mobile,MOBILE,High,HIGH,Open,NA,Military,None,,2,3,4,1,NA,CMH Muzzafarabad,33.255,91.859,2009,6,AM
182,Tuesday-June 30-2009,7 Rajab 1430 A.H.,Working Day,Working Day,,,NA,Khyber Agency,34.0211,71.2874,FATA,Quetta-Khi RCD highway-town of Torkham ,Foreign,FOREIGN,High,HIGH,Open,blew himself up while being searched at the pak-afghna checkpost,foreigner,Sunni,1,4,10,11,1,NA,NA,31.26,88.268,2009,,
183,Wednesday-July 1-2009,8 Rajab 1430 A.H.,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,Mashokhel Mera Area-Kohat Road,Mobile,MOBILE,High,HIGH,Open,,Unknown,None,,1,,,1,NA,NA,30.385,86.693,2009,,
184,Thursday-July 2-2009,9 Rajab 1430 A.H.,Working Day,Working Day,,,4:30pm,Rawalpindi,33.6058,73.0437,Punjab,"KRL Bas at Chur Chowk
on peshawar road-rwp cantt",Mobile,MOBILE,High,HIGH,Open,NA,Government official,None,,1,25,40,1,10Kg,NA,27.29,81.122,2009,4,PM
185,Wednesday-July 8-2009,15 Rajab 1430 A.H,Working Day,Working Day,,,3:00am,Peshawar,34.0043,71.5448,KPK,nasir bagh road choongi bazar near police colony,Market,MARKET,Low,LOW,Open,NA,Police,None,,1,2,5,1,20 Kg,NA,34.825,94.685,2009,3,AM
186,Tuesday-July 28-2009,6 SHa`baan 1430 A.H,Working Day,Working Day,,,NA,North Waziristan,32.9746,70.1456,KPK,Dirdony post on ghulam khan road-Near Miranshah,Police,POLICE,High,HIGH,Open,NA,Police,None,,2,3,5,1,NA,NA,27.485,81.473,2009,,
187,Thursday-August 13-2009,22 SHa`baan 1430 A.H,Working Day,Working Day,,,NA,South Waziristan,32.3202,69.8597,FATA,wana bazar,Mobile,MOBILE,Low,LOW,Open,leader of Nawaz group-a group against taliban,Anti-Militants,Sunni,4,5,,,1,NA,NA,26.925,80.465,2009,,
188,Saturday-August 15-2009,24 SHa`baan 1430 A.H,Working Day,Working Day,,,10:00:00 AM,Swat,35.2227,72.4258,KPK,Check post in Khawazakhela- Char Bagh road near-waliabad village,Police,POLICE,High,HIGH,Open,NA,Police,None,3,5,,4,1,NA,Saidu Sharif hospital,32.845,91.121,2009,10,AM
189,Sunday-August 16-2009,25 SHa`baan 1430 A.H,Holiday,Holiday,Weekend,Weekend,NA,swat,35.2227,72.4258,KPK,security forces check point,Police,POLICE,High,HIGH,Open,NA,Police,None,,1,,3,1,NA,NA,29.985,85.973,2009,,
190,Tuesday-August 18-2009,27 SHa`baan 1430 A.H.,Working Day,Working Day,,,7:00:00 PM,North Waziristan,32.9746,70.1456,KPK,Esha check post on bannu-miranshah road,Military,MILITARY,High,HIGH,Open,NA,Military,None,3,7,,3,1,NA,NA,24.65,76.37,2009,7,PM
191,Friday-August 21-2009,30 SHa`baan 1430 A.H,Working Day,Working Day,,,NA,Kohat,33.5833,71.4333,KPK,BB Pakdaman Street,Civilian,CIVILIAN,,,Open,NA,Civilian,None,,0,,,1,NA,NA,29.035,84.263,2009,,
192,Saturday-August 22-2009,1 RamaDHaan 1430 A.H. ,Working Day,Working Day,,,5:00:00 PM,Swat ,35.2227,72.4258,KPK,kanju area of Kabal tehsil,Residence,RESIDENCE,Low,LOW,Closed, police raid in the area ,Police,None,2,3,2,8,1,NA,NA,26.025,78.845,2009,5,PM
193,Sunday-August 23-2009,2 RamaDHaan 1430 A.H. ,Holiday,Holiday,Weekend,Weekend,,Peshawar,34.0043,71.5448,KPK,Momin Town,Residence,RESIDENCE,Low,LOW,open,Fateh Khawani of Haji Mobin Afridi,Anti-Militants,Sunni,,3,,15,1,12Kg,Lady Reading Hospital,29.92,85.856,2009,,
194,Thursday-August 27-2009,6 RamaDHaan 1430 A.H,Working Day,Working Day,,,aftar time,Khyber Agency,34.0211,71.2874,FATA,security post near Torkham border,Military,MILITARY,High,HIGH,Open,NA,Military,None,20,22,10,27,1,NA,Landi Kotal Hospital,30.08,86.144,2009,,
195,Sunday-August 30-2009,9 RamaDHaan 1430 A.H,Holiday,Holiday,Weekend,Weekend,NA,Swat,35.2227,72.4258,KPK,police training center in Mingora,Police,POLICE,High,HIGH,Closed,NA,Police,None,16,18,4,14,1,12 Kg,Saidu Sharif hospital,29.155,84.479,2009,,
196,Saturday-September 12-2009,22 RamaDHaan 1430 A.H,Working Day,Working Day,,,5 min befor aftar,Hangu,33.5351,71.0713,KPK,Doaba police station,Police,POLICE,High,HIGH,Closed,NA,Police,None,,,2,4,1,NA,NA,26.635,79.943,2009,5,
197,Sunday-September 13-2009,23 RamaDHaan 1430 A.H,Holiday,Holiday,Weekend,Weekend,,Malakand ,34.503,71.9046,KPK,checkpost in Thana area-near batkhela,Military,MILITARY,High,HIGH,Open,,Military,None,,1,3,5,2,NA,NA,28.31,82.958,2009,,
198,Friday-September 18-2009,28 RamaDHaan 1430 A.H,Working Day,Working Day,,,10:00:00 AM,Kohat,33.5833,71.4333,KPK,Kacha pakha bazar-in Astarzai union council area,Market,MARKET,Low,LOW,Open,NA,Civilian,None,30,37,50,60,1,150 kg ,NA,29.19,84.542,2009,10,AM
199,Saturday-September 19-2009,29 RamaDHaan 1430 A.H,Working Day,Working Day,,,Saturday Evening,Dara Adam Khel,33.6854,71.5131,KPK,"Security Check
Post in zorkalay area",Police,POLICE,High,HIGH,Open,NA,Police,None,,2,,1,1,NA,NA,29.865,85.757,2009,,
200,Monday-September 21-2009,2 SHawwal 1430 A.H. ,Working Day,Working Day,,,After Midnight,Totalai,34.2,72.5,KPK,Tatalai District,Educational,EDUCATIONAL,Low,LOW,Closed,,Government Official,None,,0,,,1,NA,NA,26.855,80.339,2009,,
201,Saturday-September 26-2009,7 SHawwal 1430 A.H,Working Day,Working Day,,,7.00 am,Bannu,32.9861,70.6042,KPK,outside Police Station in mundan area-Bannu,Police,POLICE,High,HIGH,Open,NA,Police,None,7,10,50,65,1,180Kg,N/A,26.375,79.475,2009,7,AM
202,Saturday-September 26-2009,7 SHawwal 1430 A.H,Working Day,Working Day,,,11.35 am,Peshawar,34.0043,71.5448,KPK,"Fakhar e Alam Road-
Saddar-infront of Askari bank",Bank,BANK,Low,LOW,Open,NA,Civilian,None,10,14,50,120,1,100 Kg,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",31.075,87.935,2009,11,AM
203,Monday-September 28-2009,9 SHawwal 1430 A.H,Working Day,Working Day,,,Monday Morning,bannu,32.935,70.6688,KPK,Bakakhel,Mobile,MOBILE,Low,LOW,Open,molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric,Anti-Militants,Sunni,4,5,,,1,NA,NA,24.33,75.794,2009,,
204,Monday-October 5-2009,16 SHawwal 1430 A.H,Working Day,Working Day,,,12.15 pm,Islamabad,33.718,73.0718,Capital,WFP office in islamabad F-8/3,Foreigner,FOREIGNER,High,HIGH,Closed,NA,foreigner,Christian,,5,3,8,1,8Kg,NA,24.935,76.883,2009,12,PM
205,Friday-October 9-2009,20 SHawwal 1430 A.H,Working Day,Working Day,,,12.15 PM,Peshawar,34.0043,71.5448,KPK,Khayber Bazar-Peshawar,Market,MARKET,Low,LOW,Open,NA,Civilian,None,48,50,148,187,1,100Kg,"Lady Reading Hospital 
Peshawar ",25.75,78.35,2009,12,PM
206,Monday-October 12-2009,23 SHawwal 1430 A.H,Working Day,Working Day,,,1:00:00 PM,Shangla ,34.8015,72.757,KPK,near police station in Alpuri area of shangla District,Mobile,MOBILE,High,HIGH,Open,military convoy,Military,None,,41,45,50,1,NA,Alpuri Hospital ,22.04,71.672,2009,1,PM
207,Thursday-October 15-2009,26 SHawwal 1430 A.H,Working Day,Working Day,,,8:00am,Kohat,33.5833,71.4333,KPK,Kohat Police Station ,Police,POLICE,High,HIGH,Closed,NA,Police,None,11,12,20,24,1,100 Kg,Kohat Hospital ,23.25,73.85,2009,8,AM
208,Thursday-October 15-2009,26 SHawwal 1430 A.H,Working Day,Working Day,,,NA,Lahore,31.5451,74.3407,Punjab,FIA Headquarter-Manawan Police training school-elite training school,Police,POLICE,High,HIGH,Closed,N/A,Police,None,,18,,50,N/A,NA,N/A,25.22,77.396,2009,,
209,Friday-October 16-2009,27 SHawwal 1430 A.H,Working Day,Working Day,,,2:45:00 PM,Peshawar,34.0043,71.5448,KPK,crimes investigation agency (CIA) in Swati gate-near peshawar cantt,Military,MILITARY,High,HIGH,Closed,NA,Military,None,14,15,15,24,1,70 kg ,"Lady Reading Hospital 
Peshawar ",23.265,73.877,2009,2,PM
210,Tuesday-October 20-2009,1 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,2:10:00 PM,Islamabad,33.718,73.0718,Capital,"Islamic International University
Islamabad ",Educational,EDUCATIONAL,Low,LOW,Closed,NA,Civilian,None,5,6,29,40,2,16 Kg,NA,21.895,71.411,2009,2,PM
211,Friday-October 23-2009,4 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,7.10 am,Attock ,33.7645,72.3667,Punjab,"Kamra chowk-Aeronautical Complex
Security Check Post",Military,MILITARY,High,HIGH,Open,NA,Military,None,8,9,13,17,1,NA,Govt Hospital Kamra,20.865,69.557,2009,7,AM
212,Saturday-October 24-2009,5 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,late night,Chakwal ,32.9303,72.8556,Punjab,checkpost between kalarkahar and lilla interchange-lahore to isb motorway-,Police,POLICE,High,HIGH,Open,,police,None,,1,,,1,NA,NA,20.485,68.873,2009,,
213,Monday-November 2-2009,14 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,10.40 AM,Rawalpindi,33.6058,73.0437,Punjab,"Outside National Bank
Rawalpindi Cantt",Bank,BANK,Low,LOW,Open,NA,Civilian,None,35,38,60,65,1,15Kg,CMH-Distric headquarter hospital-militry hospital-combined military hospital,20.755,69.359,2009,10,AM
214,Monday-November 2-2009,14 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,6:40:00 PM,Lahore,31.5451,74.3407,Punjab,"Checkpost at Babu Sabu Interchange
on Lahore Islamabad Motorway",Police,POLICE,High,HIGH,Open,NA,Police,None,,,10,25,1,10Kg,mian munchi hospital-mayo hospital,21.02,69.836,2009,6,PM
215,Sunday-November 8-2009,20 Thw al-Qi`dah 1430 A.H,Holiday,Holiday,Weekend,Weekend,9.30 AM,Peshawar,34.0043,71.5448,KPK,"Cattle Market in Adezai
Village in Peshawar",Market,MARKET,Low,LOW,Open,NA,Government Official,None,12,19,35,45,1,10 Kg,"Lady Reading Hospital 
Peshawar ",14.74,58.532,2009,9,AM
216,Monday-November 9-2009,21 Thw al-Qi`dah 1430 A.H,Holiday,Holiday,Iqbal Day,Public Holiday,9.45 AM,Peshawar,34.0043,71.5448,KPK,police check post near busy intersection that connects charsadda road and ring road-Faqirabad,Police,POLICE,High,HIGH,Open,NA,Police,None,,3,5,7,1,7Kg ,NA,15.475,59.855,2009,9,AM
217,Tuesday-November 10-2009,22 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,4:30:00 PM,Charsadda,34.1509,71.7359,KPK,ghafoor market in charsadda bazar-tangi road Farooq e Azam Chowk,Market,MARKET,Low,LOW,Open,NA,Civilian,None,32,34,60,100,1,60Kg,"Lady Reading Hospital 
Peshawar ",15.49,59.882,2009,4,PM
218,Friday-November 13-2009,25 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,6.45 AM,Peshawar,34.0043,71.5448,KPK,Military Check point at the entrance of regional HQ ISI,Military,MILITARY,High,HIGH,Open,NA,Military,None,10,13,47,70,1,400Kg,"Lady Reading Hospital-combined military hospital-khyber teaching hospital-
Peshawar ",17.425,63.365,2009,6,AM
219,Friday-November 13-2009,25 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,7.15 am,Bannu,32.9861,70.6042,KPK,Bakakhel police station on bannu-miranshah road,Police,POLICE,High,HIGH,Closed,NA,Police,None,7,8,22,29,1,200Kg,NA,10.7,51.26,2009,7,AM
220,Saturday-November 14-2009,26 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,4:15:00 PM,Peshawar,34.0043,71.5448,KPK,police check post on Pishtakhara Intersection,Police,POLICE,High,HIGH,Open,NA,Police,None,,12,25,35,1,50-60Kg,"1. LRH Peshawar
2. Khyber Teaching
3. Hayatabad Medical ",17.01,62.618,2009,4,PM
221,Monday-November 16-2009,28 Thw al-Qi`dah 1430 A.H,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,check point outside Badbher-police station,Police,POLICE,High,HIGH,Open,N/A,Police,None,,3,,43,1,250Kg,LRH ,14.65,58.37,2009,,
222,Thursday-November 19-2009,2 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,10.20 am,Peshawar,34.0043,71.5448,KPK,"Main Gate of the Judicial
Complex on Khyber Road",Government,GOVERNMENT,High,HIGH,Open,NA,Government Official,None,20,22,46,50,1,10 kg ,"Lady Reading Hospital 
Peshawar ",15.72,60.296,2009,10,AM
223,Tuesday-December 1-2009,14 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,NA,Swat,35.2227,72.4258,KPK,"District Mangora-Tehsil Kabal
-Dherai area",Residence,RESIDENCE,Medium,MEDIUM,Closed,,Government Official,None,1,2,11,30,1,10 Kg,NA,13.83,56.894,2009,,
224,Wednesday-December 2-2009,15 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,1:30:00 PM,Islamabad,33.718,73.0718,Capital,Naval Complex,Military,MILITARY,High,HIGH,Open,NA,Military,None,,2,10,18,1,12Kg,NA,15.595,60.071,2009,1,PM
225,Friday-December 4-2009,17 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,During Friday prayer,Rawalpindi,33.6058,73.0437,Punjab,Qasim market-Parade Lane Masjid,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Military,None,36,40,75,83,1,NA,"1. CMH Rawalpindi
2. DHQ Rawalpindi
3. AFIC      4.MH",16.04,60.872,2009,,
226,Monday-December 7-2009,20 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,12:30:00 PM,Peshawar,34.0043,71.5448,KPK,"At the Gate of Peshawar
Session Court",Government,GOVERNMENT,High,HIGH,Open,NA,Government official,None,9,11,37,50,1,8Kg,"Lady Reading Hospital 
Peshawar ",13.765,56.777,2009,12,PM
227,Monday-December 7-2009,21 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,8.42 pm,Lahore,31.5451,74.3407,Punjab,Moon Market Lahore Allama Iqbal Town,Market,MARKET,Low,LOW,Open,NA,Civilian,None,38,45,100,135,2,NA,"1. Jinnah Hospital
2. Sheikh Zahyad Hospital
3. Mayo Hospital 4.services hospital-5.farooq hospital",13.12,55.616,2009,8,PM
228,Tuesday-December 8-2009,21 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,12.10 PM,Multan,30.1886,71.4559,Punjab,checkpost near ISI Office building in Qasim Bala area -Multan Cantt,Military,MILITARY,High,HIGH,Open,NA,Military,None,8,15,47,61,1,1000 Kg,"1. CMH
2. Nishtar Hospital ",14.84,58.712,2009,12,PM
229,Tuesday-December 15-2009,28 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,2.30 pm,D.G Khan,30.05,70.6333,KPK,Khosa market near-house of Zulfiqar ali Khosa,Residence,RESIDENCE,Medium,MEDIUM,Open,NA,Government Official,None,24,33,55,70,1,1000 KG,district headquarters hospitals,16.34,61.412,2009,2,PM
230,Thursday-December 17-2009,30 Thw al-Hijjah 1430 A.H,Working Day,Working Day,,,,Bannu,32.9861,70.6042,KPK,Essakhel village-house of Local political leader,Residence,RESIDENCE,Medium,MEDIUM,Closed,,Government Official,None,,0,,0,1,NA,NA,6.315,43.367,2009,,
231,Friday-December 18-2009,1 MuHarram 1431 A.H. ,Working Day,Working Day,,,1.30 pm,Lower Dir,34.8453,71.9046,KPK,mosque on Khursheed police line- civil colony in Timergarah,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Police,None,,12,28,35,1,20 Kg,DHQ Timergara,10.69,51.242,2009,1,PM
232,Tuesday-December 22-2009,5 MuHarram 1431 A.H,Working Day,Working Day,,,11:40:00 AM,Peshawar,34.0043,71.5448,KPK,"Main Gate Peshawar Press 
Club",Office Building,OFFICE BUILDING,Low,LOW,Closed,NA,Media,None,1,3,21,24,1,10 kg ,"Lady Reading Hospital 
Peshawar ",13.12,55.616,2009,11,AM
233,Thursday-December 24-2009,7 MuHarram 1431 A.H,Working Day,Working Day,,,11.57 am,Peshawar,34.0043,71.5448,KPK,junction of mall road and Arbab Road-near PIA Building,Police,POLICE,High,HIGH,Open,NA,Government Official,None,4,5,24,25,1,10 Kg,"Lady Reading Hospital 
Peshawar ",13.48,56.264,2009,11,AM
234,Thursday-December 24-2009,7 MuHarram 1431 A.H,Working Day,Working Day,,,10.18 pm,Islamabad,33.718,73.0718,Capital,Majlis in Shakrial-near darbad saein boota,Religious,RELIGIOUS,Medium,MEDIUM,Open,Shia Religious Gathering ,Religious,Shiite,,1,1,4,1,NA,PIMS,12.7,54.86,2009,10,PM
235,Monday-December 28-2009,11 MuHarram 1431 A.H,Holiday,Holiday,Ashura,Public Holiday,6.30 pm,Muzaffarabad,34.3597,73.4711,AJK,CMH Road-Muzaffarabad,Park/Ground,PARK/GROUND,Medium,MEDIUM,Open,Muharram Procession,Religious,Shiite,10,15,81,100,1,NA,NA,9.525,49.145,2009,6,PM
236,Friday-January 1-2010,15 MuHarram 1431 A.H,Working Day,Working Day,,,5:00:00 PM,Lakki marwat,32.6018,70.9148,KPK,Peshawar shah Hasankhel village ground,Park/Ground,PARK/GROUND,Medium,MEDIUM,Open,,Civilian,None,88,100,37,100,1,250 kg,Near local hospital ,6.805,44.249,2010,5,PM
237,Wednesday-January 6-2010,20 MuHarram 1431 A.H,Working Day,Working Day,,,6:50:00 AM,Sudhanoti,33.706,73.7242,AJK,Military Base in tarar khal town sudhanoti district,Military,MILITARY,High,HIGH,Open,,Military,None,,4,11,12,1,NA,CMH Rawala kot,11.39,52.502,2010,6,AM
238,Friday-January 8-2010,22 MuHarram 1431 A.H,Working Day,Working Day,,,,Khyber Agency ,34.0211,71.2874,KPK,at the gate of the headquarters of the militant group Ansar-ul-Islam in the Tirah area,Religious,RELIGIOUS,low,LOW,Open,Ansar-ul-Islam (AI) Shura,Religious,None,,8,,11,1,NA,NA,11.33,52.394,2010,,
239,Friday-January 8-2010,22 MuHarram 1431 A.H,Working Day,Working Day,,,,peshawar,34.0043,71.5448,KPK,Adezai village in Matni on the outskirts of Peshawar,Police,POLICE,High,HIGH,Open ,,Police,None,,0,,6,1,NA,NA,12.075,53.735,2010,,
240,Saturday-January 16-2010,30 MuHarram 1431 A.H,Working Day,Working Day,,,10:00:00 AM/10:15 AM,Poonch,33.8243,73.7949,AJK,Dothan village near rawlakot,Mobile,MOBILE,High,HIGH,Open,,Police,None,,1,1,2,1,600 kg,CMH Rawala kot,12.41,54.338,2010,10,AM
241,Saturday-January 23-2010,8 safar 1431 A.H,Working Day,Working Day,,,NA,Tank,32.226,70.3761,KPK,gomal police station,Police,POLICE,High,HIGH,Open,,Police,None,4,5,3,11,1,NA,NA,6.015,42.827,2010,,
242,Friday-January 29-2010,14 safar 1431 A.H,Working Day,Working Day,,,NA,Bajaur Agency,34.8718,71.5249,FATA,Bajor agency headquarter (khar town) security check post,Military,MILITARY,High,HIGH,Open,,Military,None,16,17,26,47,1,NA,District headquarter hospital Timra,6.905,44.429,2010,,
243,Wednesday-February 10-2010,26 safar 1431 A.H,Working Day,Working Day,,,NA,Khyber Agency,34.0211,71.2874,KPK,Jamrud tehsil Khyber agency,Mobile,MOBILE,High,HIGH,Open,,Military,None,17,22,6,11,1,NA,1.Hayatabad Meical hospital,8.07,46.526,2010,,
244,Thursday-February 11-2010,27 safar 1431 A.H,Working Day,Working Day,,,Maghrib prayers,Bannu,32.9861,70.6042,KPK,Bannu police Lines 2-,Police,POLICE,High,HIGH,Open,,Police,None,,15,25,30,2,NA,1.District Headquarter Hospital Bannu  2.Combined Military Hospital,2.32,36.176,2010,,
245,Thursday-February 18-2010,4 Raby` al-awal 1431 A.H,Working Day,Working Day,,,NA,Khyber Agency,34.0211,71.2874,KPK,LI center near Darss Mosque in akakhel area of Tirah valley,Religious,RELIGIOUS,Medium,MEDIUM,Open,Lashkar-e-Islam Commander was the target,Anti-Militants,Sunni,22,31,30,110,1,40Kg,Mashte hospital,11.835,53.303,2010,,
246,Saturday-February 20-2010,6 Raby` al-awal 1431 A.H,Working Day,Working Day,,,9:30:00 AM,Mansehra,34.3333,73.2,KPK,Balakot police station,Police,POLICE,High,HIGH,Open,,Police,None,,1,4,10,2,5Kg,1.Manseehra District Headquarters Hospital ,13.74,56.732,2010,9,AM
247,Monday-February 22-2010,8 Raby` al-awal 1431 A.H,Working Day,Working Day,,,4:20:00 AM,Swat,35.2227,72.4258,KPK,Mingora-Nishat Chowk,Mobile,MOBILE,High,HIGH,Open,attack on security forces vehicle,Military,None,7,13,37,41,1,NA,1.CMH Hospital 2.Seydo Hospital,11.66,52.988,2010,4,AM
248,Saturday-February 27-2010,13 Raby` al-awal 1431 A.H,Holiday,Holiday,Eid Milad un-Nabi,Public Holiday,NA,Karak,33.1193,71.0951,KPK,Karak Police Station,Police,POLICE,High,HIGH,Open,,Police,None,,4,23,24,2,250Kg,District Headquarter Hospital Karak,11.69,53.042,2010,,
249,Friday-March 5-2010,19 Raby` al-awal 1431 A.H,Working Day,Working Day,,,NA,Hangu,33.5351,71.0713,KPK,Tal parachinar road in the jurisdiction of dandore area of Hangu,Mobile,MOBILE,Low,LOW,Open,,Civilian,Shiite,12,14,30,35,1, 12 kg,1.CMH Tal Hospital 2.District Headquarters hospital hangu,12.35,54.23,2010,,
250,Monday-March 8-2010,22 Raby` al-awal 1431 A.H,Working Day,Working Day,,,8:20:00 AM,Lahore ,31.5451,74.3407,Punjab,(SIA ) office-model Town area,Office Building,OFFICE BUILDING,High,HIGH,Open,,Military,None,13,14,80,100,1,600Kg,1.Jinna Hospital 2.General Hosptal 3.shaikh zayed Hospital 4.Ittefaq Hospital,20.46,68.828,2010,8,AM
251,Friday-March 12-2010,26 Raby` al-awal 1431 A.H,Working Day,Working Day,,,12:45:00 PM,Lahore ,31.5451,74.3407,Punjab,Lahore Cant R.A Bazar Stop,Military,MILITARY,High,HIGH,Open,,Military,Sunni,43,57,90,100,2,12 kg,Children Hospital,23.32,73.976,2010,12,PM
